"","month","srv_addr","date_post","admin","chat","info","economy","plugin_count","rulesum"
"87",4,"mc.scarletacres.com",2015-02-05,4,1,5,5,26,1810
"88",4,"archoncrafters.com",2015-02-05,5,3,8,6,39,1810
"89",4,"mc.teh3l3m3nts.com",2015-02-05,4,2,1,7,15,1810
"90",4,"initianovamc.com",2015-02-05,14,5,11,10,56,1810
"91",4,"119.252.189.56:25875",2015-02-05,11,5,9,10,50,1810
"92",4,"mc.nolifer.net",2015-02-05,9,3,8,10,32,1810
"93",4,"mine.loyloy.io",2015-02-05,15,5,11,4,50,1810
"94",4,"162.221.194.3:25997",2015-02-05,2,0,3,4,12,1810
"95",4,"ultracraft.org",2015-02-05,15,6,15,12,52,1810
"96",4,"server.seppeuniverse.com:25965",2015-02-05,1,0,2,1,5,1810
"97",4,"mc.diversitysmp.com",2015-02-05,9,1,4,7,30,1810
"98",4,"mc.envirocraft.net",2015-02-05,8,2,5,6,30,1810
"99",4,"mc.frostcraft.com",2015-02-05,5,0,3,1,11,1810
"100",4,"odielag.com",2015-02-05,4,1,2,4,10,1810
"101",4,"mc.woop.ga",2015-02-05,12,2,6,9,45,1810
"102",4,"ataraxia.mcserver.ws",2015-02-05,10,7,10,6,42,1810
"103",4,"play.avondalerpg.net",2015-02-05,5,5,3,6,22,1810
"104",4,"mc.screwj.com",2015-02-05,10,1,6,7,34,1810
"105",4,"play.riesnercraft.com",2015-02-05,7,3,6,8,25,1810
"106",4,"198.24.178.74",2015-02-05,7,0,5,6,25,1810
"107",4,"185.16.85.36:26165",2015-02-05,3,0,2,5,14,1810
"108",4,"162.248.78.114",2015-02-05,12,1,5,11,43,1810
"109",4,"baaacraft.mcpickle.com",2015-02-05,13,3,5,8,36,1810
"110",4,"173.236.91.122",2015-02-05,3,2,0,3,10,1810
"111",4,"50.136.223.117",2015-02-05,3,2,1,4,10,1810
"112",4,"76.105.203.70:32365",2015-02-05,9,1,3,7,37,1810
"113",4,"maestrea.ddns.net:25994",2015-02-05,11,1,6,12,34,1810
"114",4,"us1.vaast.org",2015-02-05,18,5,8,2,49,1810
"115",4,"mc.baronsofbullshit.com",2015-02-05,14,1,4,4,26,1810
"116",4,"play.rencrafters.org",2015-02-05,13,1,6,12,36,1810
"117",7,"play.vitamc.me",2015-05-13,15,4,13,13,57,1883
"118",7,"mc.nolifer.net",2015-05-13,18,3,9,10,44,1883
"119",7,"108.174.60.74:25765",2015-05-13,4,0,2,6,15,1883
"120",7,"mc.envirocraft.net",2015-05-13,10,2,5,6,30,1883
"121",7,"mc.minimalminecraft.com",2015-05-13,6,4,2,7,22,1883
"122",7,"pixelmon.sftmc.org:1337",2015-05-13,11,4,8,5,53,1883
"123",7,"rsrenegade.mcserver.ws",2015-05-13,10,6,8,13,49,1883
"124",7,"192.95.14.188",2015-05-13,17,0,8,8,46,1883
"125",7,"ataraxia.mcserver.ws",2015-05-13,15,7,13,10,52,1883
"126",7,"193.0.159.103:25710",2015-05-13,5,1,3,1,9,1883
"127",7,"mc.sordrin.com",2015-05-13,21,2,2,9,49,1883
"128",7,"elementosmc.com",2015-05-13,20,4,14,13,69,1883
"129",7,"electriccrystal.serveftp.com",2015-05-13,7,0,2,9,18,1883
"130",7,"mc.theconsortium.cc",2015-05-13,8,2,9,3,37,1883
"131",7,"192.210.236.53:25765",2015-05-13,1,0,1,6,9,1883
"132",7,"104.219.1.85",2015-05-13,5,3,5,6,17,1883
"133",7,"play.mnmc.us",2015-05-13,15,1,7,11,50,1883
"134",7,"mc.sioncraft.net",2015-05-13,15,3,8,10,56,1883
"135",7,"divinitycraft.dyndns.org",2015-05-13,11,1,6,8,32,1883
"136",7,"69.175.65.197:25566",2015-05-13,6,1,2,5,17,1883
"137",7,"mynecraft.servegame.com",2015-05-13,7,1,7,7,25,1883
"138",7,"broventure.minecraft.ms",2015-05-13,7,0,2,7,23,1883
"139",7,"eu.tomorrowlandzmc.com",2015-05-13,18,4,7,8,37,1883
"140",7,"mc.frostcraft.com",2015-05-13,5,0,3,1,10,1883
"141",7,"gamesonhard.com",2015-05-13,11,3,10,12,51,1883
"142",7,"play.penzcraft.net",2015-05-13,5,2,12,11,36,1883
"143",7,"mc.fundk.net",2015-05-13,20,6,6,7,43,1883
"144",7,"mc.cavcraft.com",2015-05-13,7,0,4,6,18,1883
"145",7,"play.beardytown.com",2015-05-13,3,0,3,5,13,1883
"146",7,"play.qridmc.com",2015-05-13,9,2,3,2,17,1883
"147",7,"holle.beastmc.com",2015-05-13,10,1,4,7,30,1883
